sku,store_view_code,product_badge
fm40118-spc-000315-0118-50,ae-en,Use code: SPECTUS
fm40218-spc-000315-0218-50,ae-en,Use code: SPECTUS
fm40418-spc-000315-0418-50,ae-en,Use code: SPECTUS
fm41318-spc-000315-1318-50,ae-en,Use code: SPECTUS
fm20118-spc-000316-0118-43,ae-en,Use code: SPECTUS
fm20218-spc-000316-0218-43,ae-en,Use code: SPECTUS
fm20418-spc-000316-0418-43,ae-en,Use code: SPECTUS
fm21318-spc-000316-1318-43,ae-en,Use code: SPECTUS
fm50118-spc-000317-0118-50,ae-en,Use code: SPECTUS
fm50218-spc-000317-0218-50,ae-en,Use code: SPECTUS
fm50418-spc-000317-0418-50,ae-en,Use code: SPECTUS
fm51318-spc-000317-1318-50,ae-en,Use code: SPECTUS
fm40118-spc-000318-0118-53,ae-en,Use code: SPECTUS
fm40218-spc-000318-0218-53,ae-en,Use code: SPECTUS
fm40418-spc-000318-0418-53,ae-en,Use code: SPECTUS
fm41318-spc-000318-1318-53,ae-en,Use code: SPECTUS
fm20118-spc-000319-0118-49,ae-en,Use code: SPECTUS
fm20518-spc-000319-0518-49,ae-en,Use code: SPECTUS
fm20718-spc-000319-0718-49,ae-en,Use code: SPECTUS
fm21218-spc-000319-1218-49,ae-en,Use code: SPECTUS
fm50118-spc-000320-0118-54,ae-en,Use code: SPECTUS
fm50518-spc-000320-0518-54,ae-en,Use code: SPECTUS
fm50718-spc-000320-0718-54,ae-en,Use code: SPECTUS
fm51218-spc-000320-1218-54,ae-en,Use code: SPECTUS
fm40118-spc-000321-0118-55,ae-en,Use code: SPECTUS
fm40518-spc-000321-0518-55,ae-en,Use code: SPECTUS
fm40718-spc-000321-0718-55,ae-en,Use code: SPECTUS
fm41218-spc-000321-1218-55,ae-en,Use code: SPECTUS
fm10118-spc-000322-0118-53,ae-en,Use code: SPECTUS
fm10518-spc-000322-0518-53,ae-en,Use code: SPECTUS
fm10718-spc-000322-0718-53,ae-en,Use code: SPECTUS
fm11218-spc-000322-1218-53,ae-en,Use code: SPECTUS
fm20118-spc-000323-0118-49,ae-en,Use code: SPECTUS
fm20518-spc-000323-0518-49,ae-en,Use code: SPECTUS
fm20718-spc-000323-0718-49,ae-en,Use code: SPECTUS
fm21218-spc-000323-1218-49,ae-en,Use code: SPECTUS
fm70118-spc-000324-0118-50,ae-en,Use code: SPECTUS
fm70418-spc-000324-0418-50,ae-en,Use code: SPECTUS
fm70718-spc-000324-0718-50,ae-en,Use code: SPECTUS
fm71218-spc-000324-1218-50,ae-en,Use code: SPECTUS
fm20118-spc-000325-0118-48,ae-en,Use code: SPECTUS
fm20418-spc-000325-0418-48,ae-en,Use code: SPECTUS
fm20718-spc-000325-0718-48,ae-en,Use code: SPECTUS
fm21218-spc-000325-1218-48,ae-en,Use code: SPECTUS
